Team,Team_Name
4216,Sons of Hephaestus
4217,Autobotics
4218,LabView Knights
4220,Landroids
4220,Landriods
4220,Landroids
4221,Eggman Enterprises
4222,Overclocked 
4224,Y Not Robots
4227,Kiss My Bot!
4227,Kiss My Bot!
4227,Kiss My Bot
4228,Gears Of Other Dimensions (G.O.O.D.)
4228,Gears of Other Dimensions (G.O.O.D)
4228,GOOD
4228,Gears Of Other Dimensions
4232,Global Dynamics B
4235,Potential Energy
4237,Central Lee Robotics
4237,Hawkbots
4238,Robo Chicken Gator Flys of Papayaland
4238,ROBO CHICKEN GATOR FLYS OF PAPYALAND
4238,RCGFoPL
4238,Robo Chicken Gator Flys of Papayaland
4240,The 4-H Techno Clovers
4243,Phoenix
4244,Brobotics
4244,Bro-Botics
4248,The Onions
4248,Onions
4250,Lightsabers
4251,Cougar Robotics Team
4251,Cougar Robotics
4251,Cougar Robotics Team
4253,Legonauts
4253,Legonauts
4258,Bomb Squad
4260,Spanish Inquisition
4262,Ridgebots
4266,Red Dirt Robotics
4267,RoboChix
4270,Knights who say Ni
4272,Metro Robotics
4273,Aluminati
4275,Tank Bot
4276,The Freshmen
4277,Oxymorons
4278,DeEvolution
4278,de.evolution
4280,Quanah League
4281,R2D2
4282,TSM
4283,Raider Robotics
4284,Mustangs
4286,Dragonoids
4287,The Red Meteors
4289,Steel Lightning
4291,STEMBots
4296,Titanium Falcons
4298,The Professionals
4299,The Battery Powered Picklejar Heads
4299,The Battery Powered Picklejar Heads 
4301,Tigers
4301,Tigers
4303,ROBO BRONCOS II
4304,Cronus
4304,Cronus
4306,Team Bender
4307,Team Hal
4309,Dovahbots
4311,Watt The Hex?
4311,Watt the Hex?
4311,Watt the Hex
4311,Watt The Hex
4314,4314th Aero Squadron
4314,4314TH AEROSQUAD
4315,TRITONBOTS-1
4318,Green Machine
4319,Halestorm 
4319,Halestorm
4322,PHI Omega
4322,Phi
4324,Super Ninjas
4326,Basement Lions
4326,Basement Lions
4327,Silver Titans
4328,C'est la Vie
4329,The Wolfpack
4333,Sticky
4337,DeVry Daemons
4344,RickRollers
4345,Aragon Robotics Team
4345,Aragon Robotics Team
4347,NanoGurus
4347,Nanogurus
4355,Gryphons 
4356,Gears
4357,Psychotic Geniuses
4357,The Griffins
4358,The Griffins
4359,Winged Warriors
4360,BLHS REACH
4360,BLHS REACH
4362,Quakers
4363,Marinerds
4363,Marinerds (Pine Island Crew)
4363,Marinerds Pine Island Crew
4365,Dowling Ice Tea
4366,Westside Boiler Invasion
4372,TRITOTBOTS-2
4373,Firebots
4377,SCRAPPERS
4377,SCRAPPERS 
4378,Organized Chaos
4379,Mythik_Wolf
4380,Purple Square
4386,Nova Knights
4389,RoboBucs
4390,STORM
4390,Storm Robotics Team
4392,Hillers
4392,Hillers 
4396,Decepticons
4399,Autobots
4408,Robots in Plaid 
4408,Robots in Plaid
4410,Awesome Sauce 
4412,Super 8
4416,SST Stallions I
4417,The Venom
4419,Bishopbots
4419,Bishopbots
4420,Trobots
4422,Red HoloRams
4426,River King Robotics
4432,FCS Robotics
4433,Smokin' Motors
4433,Smokin' Motors
4443,Sock Monkeys
4444,Robocats
4444,Robocats
4445,Polson Robotics
4450,5th Generation
4450,Wing it
4451,RoboFoxes
4451,RoboFoxes
4452,Wolverines
4454,MoHawk Warriors
4455,MoHawk Warriors
4466,Robots and Brain Bots Inc. 
4466,Robots and Brain Bots Inc 
4468,Colts
4468,Colts
4469,Hydra B
4473,Team Bluescreens
4473,Team Bluescreens
4475,Purple Reign
4475,Purple Reign
4476,Demons
4479,Mecha-Eagles 
4479,Mecha Eagles
4480,The Blue Dwarves
4486,Mad Science
4486,Mad Science
4487,Droid Bots
4488,Eagle Upgrade
4490,Skybots
4492,Connect-I-Cons
4494,WolverBots
4494,West Geauga WolverBots
4494,WolverBots 
4497,Burnout
4498,RoboWarriors
4500,MFS Falcons
4500,MFS  Falcons
4500,MFS Falcons
4507,RoboChargers
4507,RoboChargers
4508,E=mc^Squirreled
4508,E=mc^Squirreled
4509,Caped Cruisaders 
4510,Jackets
4511,An Abnormal Amount of Apples
4512,West Torrance
4512,West Torrance Robotics
4530,Infinite Resistance
4531,Taz
4531,Looney Tuned Robotics
4535,Redneck Robotics
4535,Juniors
4535,Robo Rev Junior
4538,Automantonx
4539,Sourdoughs
4540,Iron Panda
4543,Team Jazargo
4545,ViperBots
4545,Team Vandergift 4545
4545,Viperbots
4546,SnakeByte
4546,SnakeBytes
4548,Ruf-Nex Robotics
4549,Lutheran Mustangs
4550,Metal Madness
4554,Robo Mustangs
4554,Robo Mustangs
4557,Mass Havoc
4557,Mass Havoc
4560,Orolchi
4560,Orolchi
4565,Radical Tech
4565,Radial Tech
4578,Rebecca
4580,Wildcats
4586,Team Tiger
4586,Tiger Team
4587,The Red Hot Techie Peppers
4590,Cyber Daze
4590,CyberDaze
4592,Nuts & Bolts
4594,Tualatin Robotics
4594,Tualatin Robotics
4594,Tualitin Robotics
4600,Penn Robotics
4601,Scissor Lifters
4602,Bronc Botz - Blue
4604,TWOCA
4605,RoboHackerz
4605,RoboHackerz
4606,Tesla's Titans
4606,Tesla's Titans
4609,Zoid Bot
4610,Tiny Tank Bot
4611,Hydra Bot
4612,Dew Bot
4621,Patriots
4626,Autobots
4628,Suitbots
4628,Suit Bots
4631,Project Ninja
4633,Clockwork Clover
4635,RamBots
4636,Mustache Claus
4636,Santa Claus
4638,City Poly 3
4640,Tualitin Robotics
